date,Open,High,Low,Close,Adj Close,Volume
2009-06-30,15316.51,15316.51,15316.51,15316.51,15205.52,1151961
2009-07-01,16082.34,16082.34,15188.87,15444.15,15332.23,24477065
2009-07-02,15188.87,15316.51,14678.32,14805.96,14698.67,5937389
2009-07-03,14423.05,14550.69,14295.41,14295.41,14191.82,3524501
2009-07-06,14295.41,14933.6,14295.41,14933.6,14825.38,6157031
2009-07-07,14678.32,14805.96,14423.05,14423.05,14318.53,4369473
2009-07-08,14040.14,14295.41,13912.5,14167.77,14065.11,2989038
2009-07-09,13912.5,14295.41,13657.22,13784.86,13684.97,3848503
2009-07-10,13529.58,13657.22,13146.67,13146.67,13051.41,7730668
2009-07-13,12763.76,13146.67,12508.48,12508.48,12417.84,3181889
2009-07-14,12559.54,12559.54,12125.57,12202.15,12113.73,3321269
2009-07-15,12253.21,12712.7,12253.21,12508.48,12417.84,3162265
2009-07-16,12763.76,12763.76,12610.59,12712.7,12620.58,2503133
2009-07-17,12636.12,12687.18,12457.43,12534.01,12443.19,1218284
2009-07-20,12023.46,12074.52,11921.35,11946.88,11860.31,3405023
2009-07-21,12048.99,12176.63,11946.88,11972.41,11885.65,1895595
2009-07-22,12125.57,12151.1,12048.99,12125.57,12037.71,1613075
2009-07-23,11997.93,12712.7,11997.93,12712.7,12620.58,3639552
2009-07-24,13274.31,13274.31,13274.31,13274.31,13178.12,2447391
2009-07-27,13912.5,13912.5,13401.95,13912.5,13811.68,6014915
2009-07-28,13912.5,14295.41,13401.95,13529.58,13431.54,4672595
2009-07-29,13657.22,13784.86,13146.67,13401.95,13304.83,3621846
2009-07-30,13274.31,13401.95,12891.4,13146.67,13051.41,2376486
2009-07-31,13657.22,13784.86,13529.58,13784.86,13684.97,4408765
2009-08-03,14423.05,14423.05,14040.14,14423.05,14318.53,10605256
2009-08-04,15061.24,15061.24,14550.69,14933.6,14825.38,7322364
2009-08-05,14805.96,15061.24,14550.69,14805.96,14698.67,6480334
2009-08-06,14805.96,15061.24,14423.05,14550.69,14445.25,6488440
2009-08-07,14423.05,14678.32,14423.05,14423.05,14318.53,3985575
2009-08-10,14550.69,14805.96,14423.05,14678.32,14571.96,2700215
2009-08-11,14550.69,14805.96,14423.05,14550.69,14445.25,4731509
2009-08-12,14678.32,14678.32,14423.05,14423.05,14318.53,3902251
2009-08-13,14678.32,14678.32,14423.05,14550.69,14445.25,3513022
2009-08-14,14423.05,14678.32,14423.05,14550.69,14445.25,2780481
2009-08-17,14423.05,14550.69,14295.41,14295.41,14191.82,2439672
2009-08-18,14040.14,14295.41,14040.14,14167.77,14065.11,3634694
2009-08-19,14423.05,14423.05,14040.14,14167.77,14065.11,2818085
2009-08-20,14295.41,14295.41,14040.14,14167.77,14065.11,2264723
2009-08-21,14295.41,14805.96,14295.41,14295.41,14191.82,5657495
2009-08-24,14550.69,14550.69,14295.41,14423.05,14318.53,2485036
2009-08-25,14423.05,14423.05,14167.77,14167.77,14065.11,2262177
2009-08-26,14295.41,14423.05,14167.77,14295.41,14191.82,2021814
2009-08-27,14295.41,14295.41,14167.77,14295.41,14191.82,2110928
2009-08-28,14423.05,14423.05,14295.41,14423.05,14318.53,2503718
2009-08-31,14678.32,14678.32,14423.05,14678.32,14571.96,3425079
2009-09-01,14423.05,14678.32,14423.05,14550.69,14445.25,3318255
2009-09-03,14295.41,14423.05,13912.5,14295.41,14191.82,4225862
2009-09-04,14295.41,14295.41,13912.5,13912.5,13811.68,3976329
2009-09-07,13529.58,13912.5,13274.31,13529.58,13431.54,3737371
2009-09-08,13784.86,13784.86,13529.58,13657.22,13558.26,2692379
2009-09-09,13657.22,13784.86,13529.58,13657.22,13558.26,2674203
2009-09-10,13529.58,13657.22,13529.58,13529.58,13431.54,1614916
2009-09-11,13529.58,13657.22,13401.95,13529.58,13431.54,1631445
2009-09-14,13529.58,13657.22,13401.95,13529.58,13431.54,2305227
2009-09-15,13657.22,13657.22,13401.95,13401.95,13304.83,2847976
2009-09-16,14040.14,14040.14,14040.14,14040.14,13938.4,3446389
2009-09-17,14678.32,14678.32,13784.86,14295.41,14191.82,8600672
2009-09-18,14040.14,14423.05,13784.86,14423.05,14318.53,3329732
2009-09-21,14423.05,14423.05,14040.14,14040.14,13938.4,2984928
2009-09-22,13784.86,14040.14,13784.86,13784.86,13684.97,2581047
2009-09-23,14040.14,14295.41,13912.5,13912.5,13811.68,2969141
2009-09-24,13784.86,13912.5,13657.22,13657.22,13558.26,2121898
2009-09-25,13657.22,14295.41,13529.58,14167.77,14065.11,3655418
2009-09-28,14295.41,14295.41,13912.5,13912.5,13811.68,2199499
2009-09-29,14040.14,14040.14,13657.22,13784.86,13684.97,2939211
2009-09-30,13784.86,13912.5,13529.58,13657.22,13558.26,2789139
2009-10-01,13657.22,13657.22,13401.95,13401.95,13304.83,3428369
2009-10-02,13146.67,13146.67,12763.76,13019.03,12924.69,5547341
